Coin,CF_Beta,FP_Beta,Ann_Return,Volatility,Sharpe,MDD
AAVE,0.3259392180839397,1.1011874604683405,0.4844347327941478,0.9014846786793301,0.5373743384123199,-0.9218236711093496
LRC,0.32760366246184464,1.2003261219754393,0.3366543132711456,1.0521929482631847,0.3199549225518458,-0.9856275527631599
CRV,0.33392843340651013,1.1807477607404695,0.5177653471620413,1.0755819281129266,0.4813815978392679,-0.9677683140028506
SUSHI,0.3395027067465112,1.2317226080020227,0.22579020303670824,1.0469060450878909,0.21567379813701668,-0.988129158731049
DOT,0.33960772119498484,1.0813694490288273,0.1472076716162621,0.8204244254885317,0.17942867989163722,-0.9687760601533194
TIA,0.3421006976415716,1.0210689504374164,0.5415479801704822,1.977718990997471,0.2738245335336292,-0.9999764489977269
ADA,0.3431555110865222,1.0875648391261987,0.40836152924064417,0.8068274640092322,0.5061324105298075,-0.9185129666207922
ENJ,0.3485100972280169,1.1881885536682175,0.27298266173708563,0.9979381187858911,0.2735466825029202,-0.994496800069961
MATIC,0.34952695103689535,1.10989054708895,0.7730331211734752,0.9702139321062622,0.7967656365182036,-0.9282852175946044
XRP,0.3510121635047885,1.063373394725009,0.5988763464183496,0.8308864956355223,0.7207679382973791,-0.8324902308241223
VET,0.35103852624157544,1.1397632756807254,0.31091854661797697,0.8736972200640286,0.35586532665766224,-0.9615405744617983
EOS,0.35171165954114963,1.076446461565346,-0.01542230465804532,0.8535933713018445,-0.01806750752354629,-0.9897423294104375
FTM,0.35203671469365827,1.1533828159146817,1.1207100213323287,1.1262889946007528,0.9950465881357549,-0.9487545960878038
AVAX,0.3540922155016065,1.17641018629181,0.6288602628760016,0.9749465835482167,0.6450202231463082,-0.9346788527720229
SAND,0.3550138606115075,1.249122741424716,0.6443406525176647,1.0781528199685062,0.597633879524135,-0.9889797920516821
YFI,0.3557946689123682,1.0647614375755032,0.09636125521152894,0.8317666079307512,0.1158513148913902,-0.9621994632618347
